NCBI_name	EC_locusTag	motifCoverage	identPercent	motifDesc	mSS	mSE
ulaR	b4191	100	45	DNA-Binding-Region	20	39
rob	b4396	95.96	46.88	Conserved-Region	8	106
rob	b4396	100	40.91	DNA-Binding-Region	25	46
rob	b4396	100	50	DNA-Binding-Region	73	96
decR	b0447	100	50	Conserved-Region	2	63
decR	b0447	100	50	DNA-Binding-Region	21	40
gntR	b3438	100	40	Conserved-Region	6	60
gntR	b3438	100	60	DNA-Binding-Region	8	27
cueR	b0487	100	42.03	Conserved-Region	1	69
cueR	b0487	100	40	DNA-Binding-Region	4	23
cusR	b0571	100	46.09	Conserved-Region	2	116
cusR	b0571	98.99	43.88	DNA-Binding-Region	125	223
kdpE	b0694	100	34.78	Conserved-Region	3	116
kdpE	b0694	98	42.86	DNA-Binding-Region	126	225
cecR	b0796	100	43.08	Conserved-Region	11	70
cecR	b0796	100	50	DNA-Binding-Region	33	52
lrp	b0889	100	48.39	Conserved-Region	12	73
lrp	b0889	100	50	DNA-Binding-Region	31	50
rutR	b1013	100	52.46	Conserved-Region	17	77
rutR	b1013	100	65	DNA-Binding-Region	39	58
ihfA	b1712	NA	NA	NA	NA	NA
yefM	b2017	NA	NA	NA	NA	NA
alaS	b2697	NA	NA	NA	NA	NA
hupA	b4000	NA	NA	NA	NA	NA
yoeB	b4539	NA	NA	NA	NA	NA
fur	b0683	NA	NA	NA	NA	NA
ihfB	b0912	NA	NA	NA	NA	NA
putA	b1014	NA	NA	NA	NA	NA
