//
; ArgP	Transcription Factor
A |	15	2	4	3	3	2	4	2	7	4	14	4	2	4	3	0	9	11	3
G |	1	0	2	3	1	0	5	0	3	0	0	0	1	0	1
T |	3	13	9	0	4	9	6	1	8	5	10	1	0	2	12
//
; SoxR	Transcription Factor
A |	1	4	0	0	0	0	4	2	1	1	1	4	2	0	1	0	1	2	0	1
C |	0	0	3	1	1	4	0	2	1	1	1	1	1	4	1	0	0	0	0	1
G |	1	0	0	5	1	0	1	0	3	0	0	0	2	1	0	3	1	2	4	4
T |	4	2	3	0	4	2	1	2	1	4	4	1	1	1	4	3	4	2	2	0
//
; UlaR	Transcription Factor
A |	1	0	4	0	0	2	0	1	1	1	0	0	4	2	1	3	3	1	1	1	1	0	3
C |	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0
G |	0	4	0	0	0	1	2	0	0	0	0	4	0	0	0	0	0	0	0	2	0	4	0
T |	3	0	0	4	4	0	1	3	3	3	4	0	0	2	2	1	1	3	1	0	3	0	1
