Geneid	Anotacion	Locus	ID	C.1	C.3	C.4	F.1	F.2	F.4	M.1	M.3	M.4	H.1	H.2	H.3
cds15	gamma-glutamylcyclotransferase		WP_016736938.1	63	48	38	50	71	64	56	41	39	53	57	50
cds16	taurine ABC transporter permease	RPHASCH2410_PA00085	WP_016736937.1	29	23	27	36	32	52	22	22	17	30	30	26
cds17	ABC transporter ATP-binding protein	RPHASCH2410_RS30395	WP_016736936.1	25	18	13	17	18	20	18	13	15	6	23	10
cds18	taurine ABC transporter substrate-binding protein	RPHASCH2410_PA00095	WP_016736935.1	134	97	120	92	101	91	70	61	83	62	90	53
cds19	hypothetical protein	RPHASCH2410_PA00100	WP_016736934.1	209	222	177	309	308	298	190	135	190	164	278	196
cds20	GntR family transcriptional regulator	RPHASCH2410_PA00105	WP_016736933.1	1998	1583	1746	3452	3567	3641	2987	3768	2950	2387	3514	2312
cds21	amino acid synthesis family protein	RPHASCH2410_PA00110	WP_016736932.1	500	350	382	12514	13259	13143	15603	22990	16427	6521	8773	5654
cds22	alpha/beta hydrolase	RPHASCH2410_PA00115	WP_016736931.1	224	209	239	4805	5216	4881	4801	13350	8432	2583	3046	3843
cds23	flavin monooxygenase/reductase	RPHASCH2410_PA00120	WP_016736930.1	274	239	267	2529	2979	2732	2629	6301	4501	1591	1818	2445
cds24	LLM class flavin-dependent oxidoreductase	RPHASCH2410_PA00125	WP_016736929.1	324	357	340	1477	1774	1543	1857	3556	2599	1168	1412	1624
cds25	carnitine dehydratase	RPHASCH2410_PA00130	WP_016736928.1	669	653	669	1027	1225	1052	1317	2070	1600	893	1082	1125
cds26	NIPSNAP family protein	RPHASCH2410_PA00135	WP_016736927.1	211	190	221	188	272	227	292	500	336	206	242	259
cds27	ABC transporter substrate-binding protein	RPHASCH2410_PA00140	WP_016736926.1	1495	1502	1637	1203	1451	1306	1520	2550	2049	1042	1378	1319
cds28	ABC transporter permease	RPHASCH2410_PA00145	WP_016736925.1	542	517	596	486	552	490	465	594	513	374	511	445
cds29	ABC transporter permease	RPHASCH2410_PA00150	WP_016736924.1	342	285	358	262	322	325	282	302	263	225	306	251
cds30	ABC transporter ATP-binding protein	RPHASCH2410_PA00155	WP_016736923.1	801	780	832	554	667	611	611	633	592	473	618	515
cds31	NAD-dependent succinate-semialdehyde dehydrogenase	RPHASCH2410_RS30465	WP_016736922.1	4715	5004	5257	4401	5135	4953	4506	4108	3879	3876	5006	4039
cds32	phosphate ABC transporter substrate-binding protein	RPHASCH2410_PA00165	WP_016736921.1	274	266	313	421	386	382	369	258	315	351	425	308
cds33	FAD-dependent oxidoreductase	RPHASCH2410_PA00170	WP_016736920.1	444	399	393	437	462	543	407	267	369	367	501	317
cds34	NAD(P)-dependent oxidoreductase	RPHASCH2410_PA00175	WP_016736919.1	356	339	413	433	454	432	335	269	278	330	496	363
cds35	GHMP kinase	RPHASCH2410_PA00180	WP_016736918.1	599	661	700	669	768	733	526	540	492	627	729	605
cds36	histidinol phosphate phosphatase	RPHASCH2410_PA00185	WP_016736917.1	1193	997	1168	1348	1517	1336	1389	1208	1154	1173	1651	1261
cds37	epimerase		WP_029532082.1	781	829	989	1620	1939	1746	1366	1937	1581	1264	1557	1704
cds38	UPF0104 family protein	RPHASCH2410_PA00200	WP_029532081.1	293	243	279	472	529	507	359	295	325	347	429	338
cds39	hypothetical protein	RPHASCH2410_PA00205	WP_016736913.1	2477	1648	1855	2558	2829	2803	2197	1967	1905	2070	3085	2172
cds40	glycosyltransferase family 2 protein	RPHASCH2410_PA00210	WP_016736912.1	1754	1348	1621	3207	3917	3571	3032	4156	3424	2486	3200	3270
cds41	SIS domain-containing protein	RPHASCH2410_PA00215	WP_016736911.1	232	193	211	783	785	847	500	676	533	435	610	568
cds42	sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC	RPHASCH2410_PA00220	WP_046977250.1	1119	1086	1066	826	916	828	718	425	590	607	895	623
cds43	carbohydrate ABC transporter permease	RPHASCH2410_PA00225	WP_016736909.1	488	480	516	378	428	406	278	241	249	289	389	297
cds44	sugar ABC transporter permease	RPHASCH2410_PA00230	WP_016736908.1	627	565	640	476	518	480	417	308	354	358	518	353
cds45	ABC transporter substrate-binding protein	RPHASCH2410_PA00235	WP_016736907.1	3766	4124	4212	3971	4437	4226	3599	3384	3554	2872	4231	2984
cds46	alpha-L-rhamnosidase	RPHASCH2410_PA00240	WP_016736906.1	6433	5781	6314	12432	13057	12855	9233	7960	8598	7897	11609	7219
cds47	LacI family transcriptional regulator	RPHASCH2410_PA00245	WP_016736905.1	939	877	894	1699	1631	1668	1173	986	940	1085	1563	996
cds48	dihydrodipicolinate synthase family protein	RPHASCH2410_PA00250	WP_029532075.1	1408	1461	1492	1273	1245	1249	1211	1299	1134	873	1223	1037
cds49	GntR family transcriptional regulator	RPHASCH2410_PA00255	WP_016736903.1	233	254	301	465	492	451	362	487	419	314	414	381
cds50	FMN reductase	RPHASCH2410_PA00260	WP_016736902.1	25	29	24	45	43	44	40	24	21	29	42	30
cds51	dimethyl sulfone monooxygenase SfnG	RPHASCH2410_PA00265	WP_016736901.1	105	68	99	106	130	126	72	109	86	91	92	112
cds52	ABC transporter ATP-binding protein	RPHASCH2410_PA00270	WP_016736900.1	28	14	14	18	31	20	17	23	20	17	15	17
cds53	branched-chain amino acid ABC transporter permease	RPHASCH2410_PA00275	WP_016736899.1	350	303	339	355	378	376	388	191	260	327	426	276
cds54	branched-chain amino acid ABC transporter permease	RPHASCH2410_PA00280	WP_016736898.1	91	87	68	146	162	156	93	79	80	107	131	108
cds55	ABC transporter permease	RPHASCH2410_PA00285	WP_016736897.1	234	169	158	229	277	208	202	196	205	164	242	189
cds56	ABC transporter ATP-binding protein	RPHASCH2410_PA00290	WP_029532073.1	101	85	91	97	132	101	120	87	122	103	135	106
cds57	SfnB family sulfur acquisition oxidoreductase	RPHASCH2410_PA00295	WP_004675857.1	522	546	589	483	513	546	735	1089	838	407	556	464
cds58	alpha-L-fucosidase	RPHASCH2410_PA00300	WP_016736895.1	1196	1360	1501	1701	2023	2033	3785	15499	9497	1783	1951	3204
cds59	LacI family transcriptional regulator	RPHASCH2410_PA00305	WP_016736894.1	467	469	462	4659	5041	4815	11157	24243	15193	3742	4242	5210
cds60	peptide ABC transporter	RPHASCH2410_PA00310	WP_016736893.1	1027	980	972	4246	4639	4447	12239	32069	20159	3252	4096	3795
cds61	ABC transporter permease	RPHASCH2410_PA00315	WP_016736892.1	147	124	120	245	282	249	289	1016	686	167	202	216
cds62	ABC transporter permease	RPHASCH2410_PA00320	WP_016736891.1	163	151	141	229	249	233	258	461	362	177	271	158
cds63	ABC transporter ATP-binding protein	RPHASCH2410_PA00325	WP_039752298.1	118	101	139	162	210	188	207	302	251	158	193	146
cds64	ABC transporter ATP-binding protein	RPHASCH2410_PA00330	WP_039752296.1	179	136	168	242	249	216	253	284	306	178	250	177
cds65	inositol utilization protein	RPHASCH2410_PA00335	WP_016736890.1	582	613	686	640	642	680	458	599	553	509	712	508
cds66	glycosyl hydrolase	RPHASCH2410_PA00340	WP_016736889.1	369	292	353	398	458	464	448	443	459	331	507	309
cds67	xylose isomerase	RPHASCH2410_PA00345	WP_016736888.1	79	63	71	133	142	130	135	91	120	107	136	91
cds68	2-hydroxyacid dehydrogenase	RPHASCH2410_PA00350	WP_016736887.1	147	126	155	133	186	178	157	111	145	142	196	118
cds69	mandelate racemase	RPHASCH2410_PA00355	WP_016736886.1	181	184	170	234	310	266	282	202	246	219	295	194
cds70	AcrB/AcrD/AcrF family protein	RPHASCH2410_PA00360	WP_016736885.1	887	703	766	1199	1256	1162	1075	700	878	957	1359	868
cds71	efflux RND transporter periplasmic adaptor subunit	RPHASCH2410_PA00365	WP_029532066.1	165	136	142	241	248	233	155	122	122	182	219	162
cds72	DNA-binding response regulator	RPHASCH2410_PA00370	WP_016736883.1	324	298	297	353	413	393	341	266	275	300	403	272
cds73	HAMP domain-containing protein	RPHASCH2410_PA00375	WP_029532064.1	331	283	309	460	476	505	374	296	252	293	468	335
cds74	nodulation protein NodT	RPHASCH2410_PA00380	WP_016736881.1	443	360	427	419	543	505	476	348	355	395	509	385
cds75	CoA ester lyase	RPHASCH2410_PA00385	WP_016736880.1	1703	1716	1780	1538	1572	1488	1407	887	1148	1252	1663	1159
cds76	MaoC family dehydratase	RPHASCH2410_PA00390	WP_016736879.1	1365	1547	1578	1246	1453	1228	1334	1147	1121	1126	1539	1266
cds77	ATP-grasp domain-containing protein	RPHASCH2410_PA00395	WP_016736878.1	4540	4663	4843	4271	5445	4830	5615	4262	4630	4358	5804	4615
cds78	acetyl-CoA carboxylase subunit beta	RPHASCH2410_PA00400	WP_016736877.1	5549	6052	6193	9043	9723	9160	7123	3403	5456	6005	8682	5685
cds79	isovaleryl-CoA dehydrogenase	RPHASCH2410_PA00405	WP_016736876.1	10465	10226	11049	12296	12235	12159	6650	4196	5498	8758	13269	6943
cds80	AraC family transcriptional regulator	RPHASCH2410_PA00410	WP_016736875.1	288	266	294	270	267	281	256	234	201	217	318	183
cds81	3-hydroxyacyl-CoA dehydrogenase	RPHASCH2410_PA00415	WP_016736874.1	18754	18339	18987	20277	20275	20645	15702	9178	12084	15037	23229	12171
cds82	acetyl-CoA C-acyltransferase	RPHASCH2410_PA00420	WP_016736873.1	29266	31155	32237	48004	49101	48162	30192	17813	25161	31061	46889	26733
cds83	acyl-CoA dehydrogenase	RPHASCH2410_PA00425	WP_016736872.1	15748	17248	17807	27287	29563	28398	18963	11515	15653	17768	25632	16231
cds84	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) subunit alpha	RPHASCH2410_PA00430	WP_016736871.1	14728	16495	16371	22538	24743	23298	17561	11332	14841	15601	23692	14105
cds85	alpha-ketoacid dehydrogenase subunit beta	RPHASCH2410_PA00435	WP_029532061.1	10135	11091	11429	17779	19663	18341	15416	10363	12880	13313	18689	12332
cds86	2-oxo acid dehydrogenase subunit E2	RPHASCH2410_PA00440	WP_016736869.1	12035	13351	13440	20228	22251	20093	18575	12491	14917	15607	22215	14214
cds87	dihydrolipoyl dehydrogenase	RPHASCH2410_PA00445	WP_016736868.1	16104	17148	17544	28942	31658	29326	24883	18335	20857	22037	31382	21806
cds88	membrane protein	RPHASCH2410_PA00450	WP_004677572.1	2042	2112	2159	3818	4197	3909	3030	1939	2372	2770	3876	2732
cds89	nodulation protein NfeD	RPHASCH2410_PA00455	WP_029532059.1	2442	1982	2229	4640	4634	4752	2524	1532	1730	3535	4765	3030
cds90	hypothetical protein		gbkey=CDS	317	188	263	158	167	157	96	54	90	118	188	105
cds91	tetratricopeptide repeat protein	RPHASCH2410_PA00465	WP_029532055.1	3252	3113	3673	2623	2925	2969	1114	1036	1207	1603	2607	1461
cds92	hypothetical protein	RPHASCH2410_PA00470	WP_016736864.1	3669	3637	4066	3918	4135	4083	2219	1748	1852	2629	3802	2578
cds93	ATPase AAA	RPHASCH2410_PA00475	WP_016736863.1	4793	4803	5286	4612	5024	4862	2848	2277	2603	3270	4655	3505
cds94	type II secretion system F family protein	RPHASCH2410_PA00480	WP_016736862.1	4815	4791	5119	3885	4258	4027	2826	2099	2209	2825	3951	3019
cds95	pilus assembly protein TadB	RPHASCH2410_PA00485	WP_016736861.1	5384	5620	5860	3584	4114	3797	2609	1942	2176	2720	3817	2884
cds96	CpaF family protein	RPHASCH2410_PA00490	WP_020465412.1	10715	11214	12115	7884	8870	8318	6035	4738	5270	5720	8135	6108
cds97	L%2CD-transpeptidase	RPHASCH2410_PA00495	WP_016736859.1	2838	2887	3075	1881	2162	2054	1638	1364	1551	1533	2070	1638
cds98	pilus assembly protein	RPHASCH2410_PA00500	WP_016736858.1	9040	9342	10342	6388	7192	6915	5474	5101	4988	4948	6735	5576
cds99	pilus assembly protein	RPHASCH2410_PA00505	WP_016736857.1	2838	2733	2966	3113	3349	3212	2780	1697	2157	2463	3276	2501
cds100	pilus biosynthesis protein TadE	RPHASCH2410_PA00510	WP_016736856.1	1362	1334	1447	1391	1700	1441	1255	742	891	1007	1452	1004
cds101	pilus assembly protein	RPHASCH2410_PA00515	WP_016736855.1	9501	9225	10093	10760	11386	10934	7465	4503	5916	7196	10417	6540
cds102	hypothetical protein	RPHASCH2410_PA00520	WP_016736854.1	4244	4384	4825	3633	3863	3803	2545	1945	2302	2600	3830	2510
cds103	pilus assembly protein CpaC	RPHASCH2410_PA00525	WP_029532053.1	27123	27681	30071	16840	18006	17491	11182	10950	11494	11388	17007	11142
cds104	Flp pilus assembly protein CpaB	RPHASCH2410_PA00530	WP_016736852.1	8354	8142	9248	4073	4543	4288	3117	4629	3623	2973	4082	3410
cds105	hypothetical protein	RPHASCH2410_PA00535	WP_016736851.1	2031	2118	2340	1625	1761	1619	1550	1978	1781	1115	1691	1204
cds106	pilus assembly protein CpaA	RPHASCH2410_PA00540	WP_029532051.1	544	496	597	481	521	451	273	207	209	333	399	298
cds107	sensory histidine kinase		gbkey=CDS	5806	5337	6246	2870	3226	3182	2282	1582	1714	2178	3040	2280
cds108	hypothetical protein	RPHASCH2410_PA00550	WP_016736849.1	15	9	17	19	17	18	7	8	5	15	14	10
cds109	guanylyl cyclase	RPHASCH2410_PA00555	WP_016736848.1	2529	1821	2166	4001	4022	4224	2270	1366	1765	2835	4104	2482
cds110	gluconolaconase	RPHASCH2410_PA00560	WP_080956223.1	1453	1484	1513	548	629	537	610	374	440	502	650	474
cds111	VOC family protein	RPHASCH2410_PA00565	WP_016736846.1	886	905	974	173	216	201	355	220	192	263	219	260
cds112	ABC transporter ATP-binding protein	RPHASCH2410_PA00570	WP_029532047.1	94	81	74	165	183	166	165	163	165	127	161	121
cds113	ABC transporter ATP-binding protein	RPHASCH2410_PA00575	WP_029532045.1	104	90	88	142	151	139	160	177	179	121	161	104
cds114	ABC transporter permease	RPHASCH2410_PA00580	WP_016736845.1	161	139	148	163	188	179	175	236	240	119	197	108
cds115	ABC transporter permease	RPHASCH2410_PA00585	WP_016736844.1	266	191	212	289	284	289	310	643	475	234	278	197
cds116	ABC transporter substrate-binding protein	RPHASCH2410_PA00590	WP_039752308.1	1256	1118	1252	1301	1391	1341	2665	8844	5746	1085	1568	993
cds117	IclR family transcriptional regulator	RPHASCH2410_PA00595	WP_016736842.1	578	533	566	1237	1372	1339	1531	2152	1602	925	1262	871
cds118	hypothetical protein	RPHASCH2410_PA00600	WP_029532041.1	134	135	154	700	761	671	3134	6445	4191	552	705	569
cds119	sn-glycerol-3-phosphate ABC transporter substrate-binding protein UgpB	RPHASCH2410_PA00605	WP_016736839.1	860	878	973	1989	2044	2031	1897	4693	3141	1522	2132	1713
cds120	sn-glycerol-3-phosphate ABC transporter permease UgpA	RPHASCH2410_PA00610	WP_016736838.1	195	198	208	207	228	258	211	450	297	210	277	227
cds121	sn-glycerol-3-phosphate ABC transporter permease UgpE	RPHASCH2410_PA00615	WP_016736837.1	300	314	308	466	522	478	321	415	374	327	472	328
cds122	sn-glycerol-3-phosphate import ATP-binding protein UgpC	RPHASCH2410_PA00620	WP_016736836.1	418	380	406	1028	1101	1103	789	732	705	730	1054	641
cds123	glycerophosphoryl diester phosphodiesterase	RPHASCH2410_PA00625	WP_016736835.1	305	317	339	1128	1113	1116	728	601	622	749	1043	704
cds124	DeoR/GlpR transcriptional regulator	RPHASCH2410_PA00630	WP_016736834.1	203	228	225	521	562	530	333	268	319	320	472	329
cds125	hydrolase	RPHASCH2410_PA00635	WP_016736833.1	277	193	242	514	591	530	475	362	413	421	551	453
cds126	ABC transporter permease	RPHASCH2410_PA00640	WP_016736832.1	371	315	379	362	466	466	430	286	328	334	469	345
cds127	ABC transporter permease	RPHASCH2410_PA00645	WP_016736831.1	525	543	517	712	815	769	683	462	511	594	779	592
cds128	ABC transporter ATP-binding protein	RPHASCH2410_PA00650	WP_016736830.1	664	625	694	1045	1177	1162	881	558	679	802	1116	791
cds129	BMP family ABC transporter substrate-binding protein	RPHASCH2410_PA00655	WP_016736829.1	1858	1921	2003	2465	2674	2595	2163	2065	2166	1811	2586	1889
cds130	amidohydrolase	RPHASCH2410_PA00660	WP_016736828.1	1085	1090	1158	1598	1903	1862	1501	1032	1258	1288	1739	1311
cds131	glutathione S-transferase family protein	RPHASCH2410_PA00665	WP_016736827.1	485	446	517	785	770	733	530	413	494	498	692	471
cds132	aromatic ring-hydroxylating dioxygenase subunit alpha	RPHASCH2410_PA00670	WP_010024168.1	916	893	944	1148	1149	1179	829	1119	955	848	1128	738
cds133	oxidoreductase		WP_029532040.1	1444	1410	1460	1649	1732	1684	1853	2750	2151	1345	1752	1389
cds134	acylphosphatase	RPHASCH2410_PA00680	WP_029532039.1	300	218	224	235	256	246	168	111	142	208	273	167
cds135	hypothetical protein		WP_016736826.1	341	198	260	275	292	288	171	102	115	186	233	156
cds136	IS30 family transposase		gbkey=CDS	204	186	242	287	297	280	204	160	180	210	284	176
cds137	LacI family DNA-binding transcriptional regulator	RPHASCH2410_PA00695	WP_016736825.1	1170	1073	1123	1754	1917	1866	992	823	821	1191	1687	1066
cds138	sugar ABC transporter substrate-binding protein	RPHASCH2410_PA00700	WP_016736824.1	2576	2562	2665	3817	3909	3892	2213	2281	2156	2257	3333	2048
cds139	sugar ABC transporter permease	RPHASCH2410_PA00705	WP_029532038.1	486	478	505	841	839	864	557	405	467	539	777	484
cds140	carbohydrate ABC transporter permease	RPHASCH2410_PA00710	WP_016736822.1	201	208	243	333	356	353	254	171	209	254	315	258
cds141	sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC	RPHASCH2410_PA00715	WP_016736821.1	678	704	731	788	882	830	617	551	529	596	878	636
cds142	fructotransferase	RPHASCH2410_PA00720	WP_016736820.1	1240	1132	1333	1403	1585	1476	999	932	973	1032	1364	1086
cds143	beta-fructofuranosidase	RPHASCH2410_PA00725	WP_016736819.1	663	631	729	920	974	950	735	711	653	729	962	755
cds144	type II toxin-antitoxin system RelE/ParE family toxin	RPHASCH2410_PA00735	WP_016736817.1	205	134	174	158	154	199	105	95	99	139	223	160
cds145	type II toxin-antitoxin system ParD family antitoxin	RPHASCH2410_PA00740	WP_029532034.1	815	662	801	352	475	517	415	562	460	328	465	441
cds146	FAD-dependent oxidoreductase	RPHASCH2410_PA00745	WP_016736815.1	312	325	339	477	509	469	369	343	371	336	487	346
cds147	ABC transporter substrate-binding protein		gbkey=CDS	294	205	246	280	296	301	227	158	180	212	300	186
cds148	GlxA family transcriptional regulator	RPHASCH2410_PA00755	WP_016736814.1	4837	4496	5082	4300	4825	4554	3920	4568	3971	3244	4200	3788
cds149	GntR family transcriptional regulator	RPHASCH2410_PA00760	WP_029532032.1	737	756	791	1292	1633	1539	787	984	799	958	1270	1235
cds150	ABC transporter substrate-binding protein	RPHASCH2410_PA00765	WP_029532030.1	477	442	478	2729	3577	3116	886	1357	1139	1852	2591	2599
cds151	ABC transporter ATP-binding protein	RPHASCH2410_PA00770	WP_016736811.1	267	247	271	893	1180	960	311	389	382	657	890	817
cds152	ABC transporter permease	RPHASCH2410_PA00775	WP_004677491.1	222	213	246	614	882	733	280	264	276	535	734	660
cds153	dihydroxy-acid dehydratase	RPHASCH2410_PA00780	WP_029532026.1	335	377	362	854	1242	1057	494	438	484	821	1006	879
cds154	ribonuclease activity regulator RraA	RPHASCH2410_PA00785	WP_016736809.1	303	269	321	498	743	610	351	394	365	517	637	696
cds155	DNA-binding response regulator	RPHASCH2410_PA00790	WP_029532024.1	175	140	181	300	355	349	213	188	197	223	300	209
cds156	sensor histidine kinase	RPHASCH2410_PA00795	WP_004674649.1	302	253	230	292	405	403	311	291	275	238	358	247
cds157	ABC transporter substrate-binding protein	RPHASCH2410_PA00800	WP_029532022.1	443	459	493	661	635	684	341	246	331	415	681	350
cds158	sugar ABC transporter ATP-binding protein	RPHASCH2410_PA00805	WP_016736806.1	128	107	98	270	254	247	163	73	133	160	270	127
cds159	ABC transporter permease	RPHASCH2410_PA00810	WP_004674652.1	92	77	64	167	223	174	176	106	131	121	205	119
cds160	ABC transporter permease	RPHASCH2410_PA00815	WP_016736805.1	339	295	288	449	513	510	428	303	326	418	509	332
cds161	SMP-30/gluconolactonase/LRE family protein	RPHASCH2410_PA00820	WP_016736804.1	280	282	268	496	571	491	466	396	403	413	507	392
cds162	pyridoxamine 5'-phosphate oxidase		WP_029532020.1	591	588	611	740	860	816	761	364	501	673	933	692
cds163	threonine transporter RhtB	RPHASCH2410_PA00830	WP_029532018.1	3001	2893	3163	3477	3978	3587	3182	1968	2321	2888	4195	2533
cds164	hypothetical protein	RPHASCH2410_PA00835	WP_016736801.1	1393	1437	1462	894	1173	940	1143	851	861	947	1300	1026
cds165	hypothetical protein	RPHASCH2410_PA00840	WP_016736800.1	28200	31698	32486	29499	34996	30932	29445	20287	25377	24364	34497	24643
cds166	5-aminolevulinate synthase	RPHASCH2410_PA00845	WP_046977261.1	23664	23798	25076	33212	35770	33928	25926	10600	19367	24832	39710	19148
cds167	CBS domain-containing protein	RPHASCH2410_PA00850	WP_029532014.1	34829	33141	36094	27615	28585	27921	23420	10176	16863	22963	37149	17451
cds168	c-type cytochrome biogenesis protein CcmF		gbkey=CDS	5455	5914	5884	5384	6602	5493	6700	4854	5395	5233	6764	5416
cds169	cytochrome c maturation protein CcmE	RPHASCH2410_PA00860	WP_046977251.1	2513	2600	2772	3647	3788	3447	3463	2397	2840	2835	3819	2835
cds170	c-type cytochrome biogenesis protein CcmI	RPHASCH2410_PA00865	WP_016737119.1	6934	6264	6863	5564	6195	5767	5015	2167	3614	4617	7034	3831
cds171	Crp/Fnr family transcriptional regulator	RPHASCH2410_PA00870	WP_016737118.1	9233	10310	11053	2831	3573	3254	4210	4112	3847	3337	4352	4028
cds172	cbb3-type cytochrome oxidase assembly protein CcoS	RPHASCH2410_PA00875	WP_011428803.1	1753	1800	1961	701	870	830	933	990	889	740	1080	1052
cds173	cadmium-translocating P-type ATPase	RPHASCH2410_PA00880	WP_016737117.1	33145	35809	36593	23936	29913	26048	30422	24837	25590	23540	31826	26844
cds174	cation transporter	RPHASCH2410_PA00885	WP_016737116.1	9223	9645	10449	9691	11159	10791	9104	6360	7234	8381	11230	8709
cds175	cytochrome c oxidase accessory protein CcoG	RPHASCH2410_PA00890	WP_016737115.1	30893	30232	33178	26366	30255	29019	23346	11812	17992	22927	34081	19763
cds176	hypothetical protein		WP_016737114.1	9733	10648	11235	3745	4928	4448	5733	5344	5137	4598	5892	5820
cds177	cytochrome-c oxidase%2C cbb3-type subunit III	RPHASCH2410_PA00895	WP_016737113.1	45582	50363	51829	21854	27106	24193	27401	24814	24200	23473	30679	28968
cds178	CcoQ/FixQ family Cbb3-type cytochrome c oxidase assembly chaperone	RPHASCH2410_PA00900	WP_016737112.1	6040	6436	6811	3308	4197	3679	3490	3185	2934	3299	4367	3612
cds179	cytochrome-c oxidase%2C cbb3-type subunit II	RPHASCH2410_PA00905	WP_016737111.1	42669	47178	50557	26204	32590	29323	29480	24150	25370	25252	34590	28240
cds180	cytochrome-c oxidase%2C cbb3-type subunit I	RPHASCH2410_PA00910	WP_046977252.1	103435	112704	114423	61583	74002	65350	60494	32268	46232	52340	78441	46795
cds181	nitrogen fixation transcriptional regulator protein	RPHASCH2410_PA00915	WP_016737109.1	182135	194475	204431	73922	84471	79363	78853	23168	54701	74076	117841	55445
cds182	hybrid sensor histidine kinase/response regulator	RPHASCH2410_PA00920	WP_029532142.1	145101	145446	158955	145695	155989	151790	108274	52609	75931	117936	172290	102770
cds183	pseudoazurin	RPHASCH2410_PA00925	WP_016737107.1	65903	70095	74298	35394	42024	39518	30697	16693	24065	29991	45332	28785
cds184	DUF1775 domain-containing protein	RPHASCH2410_PA00930	WP_029532141.1	29390	30219	31280	24291	27021	25428	18692	7968	13778	19782	28918	16366
cds185	copper-binding protein	RPHASCH2410_PA00935	WP_016737105.1	6897	6962	7306	7319	8695	7699	6258	2904	4344	6347	8624	5874
cds186	NUDIX domain-containing protein		WP_016737104.1	14772	13933	15075	13369	15662	14654	17701	14403	12921	13327	16797	12902
cds187	hydroxamate siderophore iron reductase FhuF	RPHASCH2410_PA00940	WP_046977262.1	7699	6865	7418	3299	3583	3650	3002	1382	2010	2834	4060	2380
cds188	nitric oxide reductase	RPHASCH2410_PA00945	WP_016737101.1	1009	930	1125	294	316	281	251	99	181	195	337	160
cds189	hypothetical protein		WP_016737100.1	303	313	402	157	162	131	110	51	91	111	164	79
cds190	cytochrome c	RPHASCH2410_PA00950	WP_016737099.1	4654	4528	4923	135	187	179	114	78	101	144	173	129
cds191	nitric oxide reductase	RPHASCH2410_PA00955	WP_016737098.1	8199	9380	9653	719	854	786	658	524	586	671	838	637
cds192	CbbQ/NirQ/NorQ/GpvN family protein	RPHASCH2410_PA00960	WP_016737097.1	3220	3712	3730	354	363	356	350	302	300	351	416	340
cds193	VWA domain-containing protein	RPHASCH2410_PA00965	WP_016737096.1	5630	6397	6510	1053	1267	1136	1252	735	920	1026	1387	1150
cds194	oxygen-independent coproporphyrinogen III oxidase	RPHASCH2410_PA00970	WP_046977253.1	9619	10768	11215	6430	7711	6996	8745	4031	6657	6320	9933	5462
cds195	DUF2249 domain-containing protein	RPHASCH2410_PA00975	WP_016737094.1	6288	6143	6428	1252	1362	1254	1129	552	935	1072	1693	993
cds196	hypothetical protein	RPHASCH2410_PA00980	WP_016737093.1	5502	5852	5928	2894	3217	2914	2294	909	1767	2089	3141	1880
cds197	DUF2249 domain-containing protein	RPHASCH2410_PA00985	WP_016737092.1	2569	2629	2843	1046	1290	1190	1004	887	1020	871	1212	1063
