scanType	TF_RdbID	TFname	TF_locusTag	TF_RZlocusTag	TF_oldRZlocusTag	TG_RdbID	TG_name	TG_locusTag	TG_RZlocusTag	TG_oldRZlocusTag	TG_RZname	OrthologousInteration
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS00895	RPHASCH2410_CH00955	amiC	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS00945	RPHASCH2410_CH01005	rlmB	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS00975	RPHASCH2410_CH01035	secE	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	NA	NA	NA	RPHASCH2410_RS00975	RPHASCH2410_CH01035	secE	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS00975	RPHASCH2410_CH01035	secE	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS01345	RPHASCH2410_CH01410	RPHASCH2410_CH01410	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS01350	RPHASCH2410_CH01415	RPHASCH2410_CH01415	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS01360	RPHASCH2410_CH01425	RPHASCH2410_CH01425	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	NA	NA	NA	RPHASCH2410_RS01400	RPHASCH2410_CH01465	RPHASCH2410_CH01465	FALSE
site	ECK120002286	PuuR	b1299	RPHASCH2410_RS28340	RPHASCH2410_PD03330	NA	NA	NA	RPHASCH2410_RS01490	RPHASCH2410_CH01555	RPHASCH2410_CH01555	FALSE
site	ECK120001729	GcvA	b2808	RPHASCH2410_RS14950	RPHASCH2410_CH15335	NA	NA	NA	RPHASCH2410_RS01535	RPHASCH2410_CH01605	RPHASCH2410_CH01605	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	NA	NA	NA	RPHASCH2410_RS01535	RPHASCH2410_CH01605	RPHASCH2410_CH01605	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS01535	RPHASCH2410_CH01605	RPHASCH2410_CH01605	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS01640	RPHASCH2410_CH01710	RPHASCH2410_CH01710	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS01645	RPHASCH2410_CH01715	RPHASCH2410_CH01715	FALSE
site	ECK120002286	PuuR	b1299	RPHASCH2410_RS28340	RPHASCH2410_PD03330	NA	NA	NA	RPHASCH2410_RS01665	RPHASCH2410_CH01735	RPHASCH2410_CH01735	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS01665	RPHASCH2410_CH01735	RPHASCH2410_CH01735	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS01675	RPHASCH2410_CH01745	nasT	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS01700	RPHASCH2410_CH01770	ttuD	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS01705	RPHASCH2410_CH01775	RPHASCH2410_CH01775	FALSE
site	ECK120001481	NarP	b2193	RPHASCH2410_RS31630	RPHASCH2410_PA01320	NA	NA	NA	RPHASCH2410_RS01780	RPHASCH2410_CH01845	RPHASCH2410_CH01845	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS01780	RPHASCH2410_CH01845	RPHASCH2410_CH01845	FALSE
site	ECK120000378	NtrC	b3868	RPHASCH2410_RS02570	RPHASCH2410_CH02640	NA	NA	NA	RPHASCH2410_RS01810	RPHASCH2410_CH01875	RPHASCH2410_CH01875	FALSE
site	ECK120000378	NtrC	b3868	RPHASCH2410_RS02570	RPHASCH2410_CH02640	NA	NA	NA	RPHASCH2410_RS01815	RPHASCH2410_CH01880	RPHASCH2410_CH01880	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	NA	NA	NA	RPHASCH2410_RS02000	RPHASCH2410_CH02070	RPHASCH2410_CH02070	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	NA	NA	NA	RPHASCH2410_RS02065	RPHASCH2410_CH02135	RPHASCH2410_CH02135	FALSE
site	ECK120001481	NarP	b2193	RPHASCH2410_RS31630	RPHASCH2410_PA01320	NA	NA	NA	RPHASCH2410_RS02080	RPHASCH2410_CH02150	RPHASCH2410_CH02150	FALSE
site	ECK120001481	NarP	b2193	RPHASCH2410_RS31630	RPHASCH2410_PA01320	NA	NA	NA	RPHASCH2410_RS02085	RPHASCH2410_CH02155	gatB	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	NA	NA	NA	RPHASCH2410_RS02130	RPHASCH2410_CH02200	aroQ	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS02170	RPHASCH2410_CH02240	RPHASCH2410_CH02240	FALSE
site	ECK120003471	SlyA	b1642	RPHASCH2410_RS15855	RPHASCH2410_CH16260	NA	NA	NA	RPHASCH2410_RS02170	RPHASCH2410_CH02240	RPHASCH2410_CH02240	FALSE
site	ECK120002342	GntR	b3438	RPHASCH2410_RS25610	RPHASCH2410_PD00565	ECK120003480	gloA	b1651	RPHASCH2410_RS02200	RPHASCH2410_CH02270	gloA	FALSE
site	ECK120002342	GntR	b3438	RPHASCH2410_RS25610	RPHASCH2410_PD00565	NA	NA	NA	RPHASCH2410_RS02205	RPHASCH2410_CH02275	cspA3	FALSE
site	ECK120001481	NarP	b2193	RPHASCH2410_RS31630	RPHASCH2410_PA01320	NA	NA	NA	RPHASCH2410_RS02245	RPHASCH2410_CH02315	RPHASCH2410_CH02315	FALSE
site	ECK120002286	PuuR	b1299	RPHASCH2410_RS28340	RPHASCH2410_PD03330	NA	NA	NA	RPHASCH2410_RS02245	RPHASCH2410_CH02315	RPHASCH2410_CH02315	FALSE
site	ECK120001481	NarP	b2193	RPHASCH2410_RS31630	RPHASCH2410_PA01320	NA	NA	NA	RPHASCH2410_RS02250	RPHASCH2410_CH02320	RPHASCH2410_CH02320	FALSE
site	ECK120002286	PuuR	b1299	RPHASCH2410_RS28340	RPHASCH2410_PD03330	NA	NA	NA	RPHASCH2410_RS02250	RPHASCH2410_CH02320	RPHASCH2410_CH02320	FALSE
site	ECK120002286	PuuR	b1299	RPHASCH2410_RS28340	RPHASCH2410_PD03330	NA	NA	NA	RPHASCH2410_RS02335	RPHASCH2410_CH02410	clpS1	FALSE
site	ECK120002180	RutR	b1013	RPHASCH2410_RS15505	RPHASCH2410_CH15905	NA	NA	NA	RPHASCH2410_RS02455	RPHASCH2410_CH02530	gltA1	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS02470	RPHASCH2410_CH02545	RPHASCH2410_CH02545	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	NA	NA	NA	RPHASCH2410_RS02485	RPHASCH2410_CH02560	RPHASCH2410_CH02560	FALSE
site	ECK120000194	CytR	b3934	RPHASCH2410_RS04060	RPHASCH2410_CH04180	NA	NA	NA	RPHASCH2410_RS02490	RPHASCH2410_CH02565	pdhA1	FALSE
site	ECK120001481	NarP	b2193	RPHASCH2410_RS31630	RPHASCH2410_PA01320	NA	NA	NA	RPHASCH2410_RS32300	RPHASCH2410_CH02645	RPHASCH2410_CH02645	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS32300	RPHASCH2410_CH02645	RPHASCH2410_CH02645	FALSE
site	ECK120000194	CytR	b3934	RPHASCH2410_RS04060	RPHASCH2410_CH04180	NA	NA	NA	RPHASCH2410_RS02580	RPHASCH2410_CH02650	RPHASCH2410_CH02650	FALSE
site	ECK120001481	NarP	b2193	RPHASCH2410_RS31630	RPHASCH2410_PA01320	NA	NA	NA	RPHASCH2410_RS02580	RPHASCH2410_CH02650	RPHASCH2410_CH02650	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS02580	RPHASCH2410_CH02650	RPHASCH2410_CH02650	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS02585	RPHASCH2410_CH02655	RPHASCH2410_CH02655	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS02600	RPHASCH2410_CH02670	RPHASCH2410_CH02670	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS02605	RPHASCH2410_CH02675	RPHASCH2410_CH02675	FALSE
site	ECK120001729	GcvA	b2808	RPHASCH2410_RS14950	RPHASCH2410_CH15335	NA	NA	NA	RPHASCH2410_RS02635	RPHASCH2410_CH02705	RPHASCH2410_CH02705	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS02635	RPHASCH2410_CH02705	RPHASCH2410_CH02705	FALSE
site	ECK120001729	GcvA	b2808	RPHASCH2410_RS14950	RPHASCH2410_CH15335	NA	NA	NA	RPHASCH2410_RS02640	RPHASCH2410_CH02710	glyA1	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS02640	RPHASCH2410_CH02710	glyA1	FALSE
site	ECK120000540	Lrp	b0889	RPHASCH2410_RS28065	RPHASCH2410_PD03050	NA	NA	NA	RPHASCH2410_RS32305	RPHASCH2410_CH02805	RPHASCH2410_CH02805	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS32310	RPHASCH2410_CH02815	RPHASCH2410_CH02815	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS02740	RPHASCH2410_CH02820	ropB1	FALSE
site	ECK120000357	GalR	b2837	RPHASCH2410_RS09860	RPHASCH2410_CH10080	NA	NA	NA	RPHASCH2410_RS02770	RPHASCH2410_CH02855	RPHASCH2410_CH02855	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS02770	RPHASCH2410_CH02855	RPHASCH2410_CH02855	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS02775	RPHASCH2410_CH02860	RPHASCH2410_CH02860	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS02780	RPHASCH2410_CH02865	RPHASCH2410_CH02865	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	NA	NA	NA	RPHASCH2410_RS02915	RPHASCH2410_CH03000	RPHASCH2410_CH03000	FALSE
site	ECK120002286	PuuR	b1299	RPHASCH2410_RS28340	RPHASCH2410_PD03330	NA	NA	NA	RPHASCH2410_RS03105	RPHASCH2410_CH03195	uvrA	FALSE
site	ECK120002286	PuuR	b1299	RPHASCH2410_RS28340	RPHASCH2410_PD03330	NA	NA	NA	RPHASCH2410_RS03110	RPHASCH2410_CH03200	ssb	FALSE
site	ECK120002180	RutR	b1013	RPHASCH2410_RS15505	RPHASCH2410_CH15905	NA	NA	NA	RPHASCH2410_RS03115	RPHASCH2410_CH03205	RPHASCH2410_CH03205	FALSE
site	ECK120000540	Lrp	b0889	RPHASCH2410_RS28065	RPHASCH2410_PD03050	NA	NA	NA	RPHASCH2410_RS03130	RPHASCH2410_CH03230	coaD	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS03170	RPHASCH2410_CH03270	RPHASCH2410_CH03270	FALSE
site	ECK120003471	SlyA	b1642	RPHASCH2410_RS15855	RPHASCH2410_CH16260	NA	NA	NA	RPHASCH2410_RS03255	RPHASCH2410_CH03360	RPHASCH2410_CH03360	FALSE
site	ECK120003471	SlyA	b1642	RPHASCH2410_RS15855	RPHASCH2410_CH16260	NA	NA	NA	RPHASCH2410_RS03260	RPHASCH2410_CH03365	RPHASCH2410_CH03365	FALSE
site	ECK120000194	CytR	b3934	RPHASCH2410_RS04060	RPHASCH2410_CH04180	NA	NA	NA	RPHASCH2410_RS03300	RPHASCH2410_CH03405	RPHASCH2410_CH03405	FALSE
site	ECK120000194	CytR	b3934	RPHASCH2410_RS04060	RPHASCH2410_CH04180	NA	NA	NA	RPHASCH2410_RS03305	RPHASCH2410_CH03410	speB2	FALSE
site	ECK120002180	RutR	b1013	RPHASCH2410_RS15505	RPHASCH2410_CH15905	NA	NA	NA	RPHASCH2410_RS03305	RPHASCH2410_CH03410	speB2	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS03330	RPHASCH2410_CH03435	RPHASCH2410_CH03435	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS03330	RPHASCH2410_CH03435	RPHASCH2410_CH03435	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS03335	RPHASCH2410_CH03440	RPHASCH2410_CH03440	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS03335	RPHASCH2410_CH03440	RPHASCH2410_CH03440	FALSE
site	ECK120000946	SoxR	b4063	RPHASCH2410_RS05245	RPHASCH2410_CH05360	NA	NA	NA	RPHASCH2410_RS03345	RPHASCH2410_CH03450	RPHASCH2410_CH03450	FALSE
site	ECK120000378	NtrC	b3868	RPHASCH2410_RS02570	RPHASCH2410_CH02640	NA	NA	NA	RPHASCH2410_RS03355	RPHASCH2410_CH03460	RPHASCH2410_CH03460	FALSE
site	ECK120000378	NtrC	b3868	RPHASCH2410_RS02570	RPHASCH2410_CH02640	NA	NA	NA	RPHASCH2410_RS03360	RPHASCH2410_CH03465	RPHASCH2410_CH03465	FALSE
site	ECK120000378	NtrC	b3868	RPHASCH2410_RS02570	RPHASCH2410_CH02640	NA	NA	NA	RPHASCH2410_RS03425	RPHASCH2410_CH03535	rlpA	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS03440	RPHASCH2410_CH03550	RPHASCH2410_CH03550	FALSE
site	ECK120001481	NarP	b2193	RPHASCH2410_RS31630	RPHASCH2410_PA01320	NA	NA	NA	RPHASCH2410_RS03440	RPHASCH2410_CH03550	RPHASCH2410_CH03550	FALSE
site	ECK120001481	NarP	b2193	RPHASCH2410_RS31630	RPHASCH2410_PA01320	NA	NA	NA	RPHASCH2410_RS03445	RPHASCH2410_CH03555	RPHASCH2410_CH03555	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS03470	RPHASCH2410_CH03580	RPHASCH2410_CH03580	FALSE
site	ECK120000483	ArgP	b2916	RPHASCH2410_RS19540	RPHASCH2410_CH20050	NA	NA	NA	RPHASCH2410_RS03480	RPHASCH2410_CH03590	RPHASCH2410_CH03590	FALSE
site	ECK120002342	GntR	b3438	RPHASCH2410_RS25610	RPHASCH2410_PD00565	NA	NA	NA	RPHASCH2410_RS03480	RPHASCH2410_CH03590	RPHASCH2410_CH03590	FALSE
site	ECK120001481	NarP	b2193	RPHASCH2410_RS31630	RPHASCH2410_PA01320	NA	NA	NA	RPHASCH2410_RS03480	RPHASCH2410_CH03590	RPHASCH2410_CH03590	FALSE
site	ECK120004350	UlaR	b4191	RPHASCH2410_RS21345	RPHASCH2410_PB00140	NA	NA	NA	RPHASCH2410_RS03480	RPHASCH2410_CH03590	RPHASCH2410_CH03590	FALSE
site	ECK120001729	GcvA	b2808	RPHASCH2410_RS14950	RPHASCH2410_CH15335	NA	NA	NA	RPHASCH2410_RS03555	RPHASCH2410_CH03665	tpiA	FALSE
site	ECK120000194	CytR	b3934	RPHASCH2410_RS04060	RPHASCH2410_CH04180	NA	NA	NA	RPHASCH2410_RS03595	RPHASCH2410_CH03700	exoN	FALSE
site	ECK120000194	CytR	b3934	RPHASCH2410_RS04060	RPHASCH2410_CH04180	NA	NA	NA	RPHASCH2410_RS03600	RPHASCH2410_CH03705	RPHASCH2410_CH03705	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS03625	RPHASCH2410_CH03735	ltaE	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS03670	RPHASCH2410_CH03780	RPHASCH2410_CH03780	FALSE
site	ECK120000540	Lrp	b0889	RPHASCH2410_RS28065	RPHASCH2410_PD03050	NA	NA	NA	RPHASCH2410_RS03855	RPHASCH2410_CH03975	RPHASCH2410_CH03975	FALSE
site	ECK120002342	GntR	b3438	RPHASCH2410_RS25610	RPHASCH2410_PD00565	NA	NA	NA	RPHASCH2410_RS03885	RPHASCH2410_CH04005	RPHASCH2410_CH04005	FALSE
site	ECK120000357	GalR	b2837	RPHASCH2410_RS09860	RPHASCH2410_CH10080	NA	NA	NA	RPHASCH2410_RS03890	RPHASCH2410_CH04010	RPHASCH2410_CH04010	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	NA	NA	NA	RPHASCH2410_RS03890	RPHASCH2410_CH04010	RPHASCH2410_CH04010	FALSE
site	ECK120000357	GalR	b2837	RPHASCH2410_RS09860	RPHASCH2410_CH10080	NA	NA	NA	RPHASCH2410_RS03895	RPHASCH2410_CH04015	RPHASCH2410_CH04015	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	NA	NA	NA	RPHASCH2410_RS03895	RPHASCH2410_CH04015	RPHASCH2410_CH04015	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	NA	NA	NA	RPHASCH2410_RS03905	RPHASCH2410_CH04025	RPHASCH2410_CH04025	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	ECK120003240	puuD	b1298	RPHASCH2410_RS03910	RPHASCH2410_CH04030	RPHASCH2410_CH04030	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS04005	RPHASCH2410_CH04125	RPHASCH2410_CH04125	FALSE
site	ECK120000357	GalR	b2837	RPHASCH2410_RS09860	RPHASCH2410_CH10080	NA	NA	NA	RPHASCH2410_RS04055	RPHASCH2410_CH04175	RPHASCH2410_CH04175	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	NA	NA	NA	RPHASCH2410_RS04055	RPHASCH2410_CH04175	RPHASCH2410_CH04175	FALSE
site	ECK120000357	GalR	b2837	RPHASCH2410_RS09860	RPHASCH2410_CH10080	ECK120000194	cytR	b3934	RPHASCH2410_RS04060	RPHASCH2410_CH04180	RPHASCH2410_CH04180	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	ECK120000194	cytR	b3934	RPHASCH2410_RS04060	RPHASCH2410_CH04180	RPHASCH2410_CH04180	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS04085	RPHASCH2410_CH04205	RPHASCH2410_CH04205	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS04090	RPHASCH2410_CH04210	RPHASCH2410_CH04210	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS04100	RPHASCH2410_CH04220	RPHASCH2410_CH04220	FALSE
site	ECK120001729	GcvA	b2808	RPHASCH2410_RS14950	RPHASCH2410_CH15335	NA	NA	NA	RPHASCH2410_RS04205	RPHASCH2410_CH04330	RPHASCH2410_CH04330	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS04205	RPHASCH2410_CH04330	RPHASCH2410_CH04330	FALSE
site	ECK120001729	GcvA	b2808	RPHASCH2410_RS14950	RPHASCH2410_CH15335	NA	NA	NA	RPHASCH2410_RS04210	RPHASCH2410_CH04335	RPHASCH2410_CH04335	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS04210	RPHASCH2410_CH04335	RPHASCH2410_CH04335	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS04245	RPHASCH2410_CH04370	smoE	FALSE
site	ECK120002342	GntR	b3438	RPHASCH2410_RS25610	RPHASCH2410_PD00565	NA	NA	NA	RPHASCH2410_RS04280	RPHASCH2410_CH04405	RPHASCH2410_CH04405	FALSE
site	ECK120004350	UlaR	b4191	RPHASCH2410_RS21345	RPHASCH2410_PB00140	NA	NA	NA	RPHASCH2410_RS04310	RPHASCH2410_CH04435	RPHASCH2410_CH04435	FALSE
site	ECK120004350	UlaR	b4191	RPHASCH2410_RS21345	RPHASCH2410_PB00140	NA	NA	NA	RPHASCH2410_RS04315	RPHASCH2410_CH04440	RPHASCH2410_CH04440	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS04445	RPHASCH2410_CH04570	RPHASCH2410_CH04570	FALSE
